Date,fmagx
1985-01-03,-0.002178649237472685
1985-01-04,-0.0021834061135370675
1985-01-07,0.004376367614879584
1985-01-08,0.002178649237472685
1985-01-09,0.006521739130434856
1985-01-10,0.012958963282937441
1985-01-11,0.002132196162046851
1985-01-14,0.010638297872340496
1985-01-15,0.004210526315789442
1985-01-16,0.01048218029350112
1985-01-17,0.0020746887966804906
1985-01-18,0.0041407867494822614
1985-01-21,0.012371134020618735
1985-01-22,0.004073319755600657
1985-01-23,0.008113590263691739
1985-01-24,-0.002012072434607548
1985-01-25,0.012096774193548265
1985-01-28,0.003984063745019917
1985-01-29,0.003968253968253954
1985-01-30,0.005928853754940677
1985-01-31,0.0
1985-02-01,-0.0019646365422396617
1985-02-04,0.007874015748031482
1985-02-05,0.00390625
1985-02-06,0.001945525291829009
1985-02-07,0.005825242718446422
1985-02-08,0.0038610038610038533
1985-02-11,-0.00576923076923086
1985-02-12,-0.0019342359767891004
1985-02-13,0.007751937984496138
1985-02-14,0.0
1985-02-15,-0.0019230769230769162
1985-02-19,-0.003853564547206201
1985-02-20,0.0019342359767891004
1985-02-21,-0.005791505791505669
1985-02-22,-0.005825242718446644
1985-02-25,-0.005859375
1985-02-26,0.005893909626719207
1985-02-27,0.0
1985-02-28,0.001953125
1985-03-01,0.00974658869395717
1985-03-04,-0.0038610038610037423
1985-03-05,0.0
1985-03-06,-0.0019379844961240345
1985-03-07,-0.005825242718446644
1985-03-08,-0.001953125
1985-03-11,0.0
1985-03-12,0.001956947162426559
1985-03-13,-0.005859375
1985-03-14,0.0
1985-03-15,0.0
1985-03-18,-0.003929273084479323
1985-03-19,0.009861932938856066
1985-03-20,-0.003906250000000111
1985-03-21,0.0039215686274509665
1985-03-22,-0.001953125
1985-03-25,-0.00391389432485334
1985-03-26,0.0019646365422396617
1985-03-27,0.00588235294117645
1985-03-28,0.0019493177387914784
1985-03-29,0.005836575875486361
1985-04-01,0.0019342359767891004
1985-04-02,-0.0019305019305019266
1985-04-03,-0.005802707930367523
1985-04-04,0.0
1985-04-08,-0.0019455252918287869
1985-04-09,0.0019493177387914784
1985-04-10,0.009727626459144156
1985-04-11,0.005780346820809079
1985-04-12,0.003831417624521105
1985-04-15,0.003816793893129722
1985-04-16,0.001901140684410496
1985-04-17,0.00189753320683117
1985-04-18,0.0
1985-04-19,0.0
1985-04-22,-0.0037878787878788955
1985-04-23,0.001901140684410496
1985-04-24,0.00189753320683117
1985-04-25,0.0018939393939394478
1985-04-26,-0.003780718336483968
1985-04-29,-0.007590132827324347
1985-04-30,-0.005736137667304075
1985-05-01,-0.00576923076923086
1985-05-02,0.0
1985-05-03,0.003868471953578423
1985-05-06,0.0019267822736031004
1985-05-07,0.005769230769230749
1985-05-08,0.0
1985-05-09,0.009560229445506607
1985-05-10,-0.03409090909090917
1985-05-13,0.0019607843137257053
1985-05-14,-0.001956947162426781
1985-05-15,0.0019607843137257053
1985-05-16,0.003913894324853118
1985-05-17,0.007797270955165692
1985-05-20,0.011605415860735047
1985-05-21,0.0
1985-05-22,-0.003824091778202754
1985-05-23,-0.0057581573896353655
1985-05-24,0.0019305019305020377
1985-05-28,0.0
1985-05-29,0.0019267822736031004
1985-05-30,0.0
1985-05-31,0.005769230769230749
1985-06-03,0.0019120458891013214
1985-06-04,0.00190839694656475
1985-06-05,0.0019047619047618536
1985-06-06,0.0038022813688214363
1985-06-07,-0.0037878787878788955
1985-06-10,-0.0019011406844106071
1985-06-11,0.0019047619047618536
1985-06-12,-0.0038022813688212143
1985-06-13,-0.007633587786259555
1985-06-14,0.005769230769230749
1985-06-17,0.0019120458891013214
1985-06-18,0.005725190839694472
1985-06-19,-0.001897533206831059
1985-06-20,-0.0019011406844106071
1985-06-21,0.003809523809523707
1985-06-24,0.00189753320683117
1985-06-25,-0.011363636363636465
1985-06-26,0.019157088122605526
1985-06-27,0.007518796992481258
1985-06-28,0.003731343283581934
1985-07-01,0.0018587360594795044
1985-07-02,0.0018552875695734272
1985-07-03,0.0
1985-07-05,0.007407407407407307
1985-07-08,-0.0018382352941177516
1985-07-09,-0.0018416206261510082
1985-07-10,0.005535055350553542
1985-07-11,0.003669724770642091
1985-07-12,0.005484460694698434
1985-07-15,0.0
1985-07-16,0.009090909090909038
1985-07-17,0.00540540540540535
1985-07-18,-0.0035842293906810374
1985-07-19,-0.0017985611510791255
1985-07-22,-0.003603603603603567
1985-07-23,-0.005424954792043413
1985-07-24,-0.010909090909090868
1985-07-25,-0.0018382352941177516
1985-07-26,0.0018416206261511192
1985-07-29,-0.011029411764705954
1985-07-30,-0.0018587360594795044
1985-07-31,0.009310986964618184
1985-08-01,0.007380073800737907
1985-08-02,0.001831501831501825
1985-08-05,-0.003656307129798808
1985-08-06,-0.00917431192660545
1985-08-07,-0.0037037037037037646
1985-08-08,0.005576208178438735
1985-08-09,0.001848428835489857
1985-08-12,-0.0018450184501844769
1985-08-13,0.0
1985-08-14,0.0
1985-08-15,0.0
1985-08-16,-0.003696857670979714
1985-08-19,-0.0037105751391465214
1985-08-20,0.003724394785847185
1985-08-21,0.007421150278293043
1985-08-22,-0.0055248618784529135
1985-08-23,0.0018518518518517713
1985-08-26,0.0
1985-08-27,0.003696857670979492
1985-08-28,0.0018416206261511192
1985-08-29,0.0018382352941175295
1985-08-30,0.0
1985-09-03,-0.005504587155963359
1985-09-04,-0.0018450184501844769
1985-09-05,-0.001848428835489746
1985-09-06,0.0018518518518517713
1985-09-09,0.0
1985-09-10,-0.005545286506469571
1985-09-11,-0.011152416356877248
